,pts,dates,swe bare [cm],swe j15 [cm]
0,p00,2021-01-15,0.04142559063939346,-0.0
1,p00,2021-01-21,0.5150301866885215,0.4715943042299851
2,p00,2021-01-22,0.43682263001310073,0.3937324740285466
3,p00,2021-01-29,0.3890611157903205,0.3461793538705621
4,p00,2021-02-17,0.9282800180574757,0.8829212372325398
5,p00,2021-02-18,0.8696831583748651,0.824607162648243
6,p00,2021-02-24,0.6372673685765361,0.5932797625951642
7,p00,2021-03-04,0.5832266943987235,0.5394847293762758
8,p01,2021-01-15,0.05078570459242252,-0.0
9,p01,2021-01-21,0.5672141329780329,0.5137288786500628
10,p01,2021-01-22,0.6176637988422771,0.5638990055974363
11,p01,2021-01-29,0.35241905940880336,0.3000918040142391
12,p01,2021-02-17,0.9361948568338819,0.8805960178707003
13,p01,2021-02-18,0.9021536218945839,0.8467566107867021
14,p01,2021-02-24,0.2658115906186457,0.2139368643661486
15,p01,2021-03-04,0.45491059473283163,0.4020372156211516
16,p02,2021-01-15,-0.04703547566239966,-0.0
17,p02,2021-01-21,0.2729131573052903,0.3214654578922276
18,p02,2021-01-22,0.127773755792979,0.17562537303726952
19,p02,2021-01-29,0.20191121508847623,0.2501180824678458
20,p02,2021-02-17,0.9394577521771253,0.9915160219024
21,p02,2021-02-18,0.9144147098306358,0.966332215841544
22,p02,2021-02-24,0.6415841959004883,0.6920150632889418
23,p02,2021-03-04,0.3427938183952896,0.39169114779396125
24,p03,2021-01-15,0.07167778057878396,-0.0
25,p03,2021-01-21,0.5798844998020328,0.5044604812722208
26,p03,2021-01-22,0.4700381125214481,0.39545750156725223
27,p03,2021-01-29,0.2904238070169024,0.2171816773218815
28,p03,2021-02-17,0.8971589092470915,0.8191884972548672
29,p03,2021-02-18,0.9850402662105371,0.9063345033403825
30,p03,2021-02-24,0.6617141247298256,0.5856492477003815
31,p03,2021-03-04,0.3602025278536931,0.2864463056156421
32,p04,2021-01-15,-0.1489365039730973,-0.0
33,p04,2021-01-21,0.1922884771574284,0.34635692589205297
34,p04,2021-01-22,0.8381570901683152,1.0030149265743151
35,p04,2021-01-29,0.16382849687602524,0.3174546157133179
36,p04,2021-02-17,0.6845024565034408,0.8466580619923969
37,p04,2021-02-18,0.5786724154901155,0.7390173771420453
38,p04,2021-02-24,0.24649954137469932,0.40141795252554624
39,p04,2021-03-04,0.30720960779710316,0.4630915241002814
40,p05,2021-01-15,-0.01646554349652393,-0.0
41,p05,2021-01-21,0.38252762372922616,0.39966096507429016
42,p05,2021-01-22,0.3660329899504422,0.3831376082696374
43,p05,2021-01-29,0.4065286860474094,0.4237039987869232
44,p05,2021-02-17,0.8312782923275328,0.8492322425584125
45,p05,2021-02-18,0.8984931029152362,0.916576719184068
46,p05,2021-02-24,0.7406077785490653,0.7583896711161683
47,p05,2021-03-04,0.45900364786888204,0.47627146078421156
48,p06,2021-01-15,-0.008175962949332635,-0.0
49,p06,2021-01-21,0.5377173828450874,0.5463541535943461
50,p06,2021-01-22,1.0581310174962,1.0672587199496446
51,p06,2021-01-29,0.39493050334763624,0.4034416324523015
52,p06,2021-02-17,0.7621584311107387,0.7710004121543413
53,p06,2021-02-18,0.6736081570219306,0.6823680260914987
54,p06,2021-02-24,0.5926824847608845,0.6013686266016357
55,p06,2021-03-04,0.3025441900269401,0.310975996819739
56,p07,2021-01-15,0.13578175428497377,-0.0
57,p07,2021-01-21,0.5723015582093431,0.43046945425170724
58,p07,2021-01-22,0.42868119157126133,0.288899912970739
59,p07,2021-01-29,0.38084052392699047,0.24172906369264507
60,p07,2021-02-17,0.9977051436817566,0.8494313830374244
61,p07,2021-02-18,1.1445827531301074,0.993951131343202
