DOWY,value,data
112,4.035826387391656,model
112,4.39358635856355,model
112,2.7572782983112165,model
112,4.314930112595945,model
112,2.969671756829471,model
112,3.4239581518159747,model
112,4.670277524670825,model
112,3.686184224901852,model
112,4.242334772413185,model
112,3.5265277908382653,model
112,3.3399884519654996,model
112,7.149182965222832,model
112,3.503033529396508,model
112,2.945685053307776,model
112,5.783907889951937,model
112,9.693769840040115,model
112,2.8762234247121783,model
112,4.130409962105635,model
112,5.955380063825827,model
112,3.5031863504544964,model
112,6.169569313022101,model
112,7.408540515064411,model
112,5.5229512519586,model
112,5.297812159397246,model
112,7.557422209470275,model
112,3.7181898833574816,model
113,3.373469160658336,model
113,4.818955053807949,model
113,1.509634693018464,model
113,3.388161020217802,model
113,8.512487598636296,model
113,3.283216752279537,model
113,9.048299379061966,model
113,2.4791601420481424,model
113,4.553869726314816,model
113,8.415772905069797,model
113,3.575282549146853,model
113,7.840691880730609,model
113,1.8935178910501285,model
113,3.0296799410158677,model
113,4.4884711298794215,model
113,8.356323716075073,model
113,7.573650208147767,model
113,4.194857480025947,model
113,6.4729894073814345,model
113,2.3499952601918856,model
113,4.999951113465798,model
113,6.241122832097291,model
113,6.035100584688388,model
113,10.163368506072985,model
113,6.400885970219185,model
113,4.463318535586097,model
120,2.9681571462159257,model
120,2.574772835570229,model
120,2.147594954479146,model
120,1.8657008707656493,model
120,2.7230395528572036,model
120,3.628621610833267,model
120,3.456150733081689,model
120,2.075822006279819,model
120,3.4641453496753254,model
120,1.79738708652842,model
120,2.04470757117013,model
120,5.052602181570411,model
120,2.759444387691359,model
120,1.6683027234398202,model
120,2.498372073072236,model
120,5.444385697193956,model
120,1.4552541531851777,model
120,1.1067034955810842,model
120,2.4851386102516826,model
120,2.729712327394893,model
120,2.6725205308543236,model
120,4.315924549167496,model
120,2.1895434942847185,model
120,3.3394772080222435,model
120,2.2551592112767467,model
120,3.238387674642656,model
139,7.507701970959088,model
139,7.488207200386531,model
139,8.41645808335856,model
139,6.972812375855074,model
139,7.203496061877297,model
139,7.22510264661964,model
139,6.5676293794364184,model
139,7.226774070139173,model
139,8.229156021657797,model
139,7.044815797155807,model
139,6.700506383782203,model
139,7.66152653662317,model
139,7.986895618938721,model
139,6.338333388702242,model
139,6.544641491748859,model
139,8.662937716542226,model
139,6.302588463507903,model
139,7.518731212635973,model
139,7.674071651579656,model
139,6.955213261061825,model
139,8.944495161332863,model
139,9.097325726637036,model
139,8.426900467680214,model
139,6.635464505625425,model
139,10.02891423488508,model
139,7.080464355864802,model
140,7.018333939970689,model
140,7.204323273110028,model
140,8.206011069254366,model
140,7.703914973227382,model
140,6.298347848604832,model
140,7.789700257300919,model
140,5.820694409093129,model
140,8.43679730548185,model
140,7.533512638716999,model
140,7.876851671612161,model
140,8.353579458257899,model
140,6.599604028637728,model
140,7.70170653132252,model
140,5.60146555598422,model
140,6.5136934508973665,model
140,7.374061866606767,model
140,7.095918115264937,model
140,9.05743155248082,model
140,6.905074856836794,model
140,8.169042873455481,model
140,9.691364530294631,model
140,8.673332454621969,model
140,6.780023235426529,model
140,6.123104282835159,model
140,10.01847404524655,model
140,6.81968835806683,model
146,5.067745654760475,model
146,1.8379142941075863,model
146,5.9020982618498605,model
146,5.003154359521844,model
146,3.438919460543233,model
146,6.4614869690107035,model
146,5.136199593036052,model
146,6.102495151298949,model
146,2.6119018416967066,model
146,1.738930907127887,model
146,4.2352072751963545,model
146,4.524761159334407,model
146,5.045615880975337,model
146,3.215943154341207,model
146,1.6155292248523807,model
146,2.221731478168962,model
146,1.244582825574014,model
146,6.7981191408445865,model
146,1.7611851802075482,model
146,6.372461168268325,model
146,7.561478319419232,model
146,3.4165943688315408,model
146,3.396953394435864,model
146,3.0945639754499625,model
146,8.041830795654954,model
146,2.7390104081013025,model
154,4.612042491029485,model
154,3.444192489579099,model
154,3.356082410297331,model
154,2.458194554429502,model
154,3.9635728430317703,model
154,4.075562967563841,model
154,2.6677256740049495,model
154,6.703659167601486,model
154,4.260600999290123,model
154,2.051633115421773,model
154,3.0093925124525405,model
154,4.859472540211481,model
154,4.026929165543055,model
154,1.3581801622495768,model
154,3.052508929029819,model
154,2.5670632993137845,model
154,2.88257513119403,model
154,5.874903741515,model
154,1.9438389145450352,model
154,4.754191905231843,model
154,6.968861103307887,model
154,3.486068728289045,model
154,3.1762503751987476,model
154,2.9865472545628062,model
154,9.211108680732972,model
154,2.4938159625035783,model
112,7.458663835393373,lidar
112,6.125629199374849,lidar
112,4.16514263975539,lidar
112,5.807146875280597,lidar
112,4.701076873475782,lidar
112,7.148436610891103,lidar
112,5.097282585835515,lidar
112,7.8864513772608795,lidar
112,6.480337537603376,lidar
112,4.919437900756242,lidar
112,4.733016534793231,lidar
112,6.849999784189466,lidar
112,5.748808760716392,lidar
112,5.071180344420237,lidar
112,6.026001432666823,lidar
112,7.160782552392338,lidar
112,4.838807056241069,lidar
112,6.632197373619913,lidar
112,6.193280580477155,lidar
112,8.03969811633644,lidar
112,7.257140471868181,lidar
112,6.681881190516331,lidar
112,5.956924998496438,lidar
112,5.123555330998619,lidar
112,7.348331297111382,lidar
112,7.348331297111382,lidar
113,6.251006623546645,lidar
113,5.970949429991334,lidar
113,3.1051330232837744,lidar
113,5.376707886677812,lidar
113,8.33502784419081,lidar
113,5.725577825544064,lidar
113,9.28907282494886,lidar
113,6.444831959526371,lidar
113,6.2917401278650615,lidar
113,8.83248026106034,lidar
113,4.162169261691183,lidar
113,7.4582958592403585,lidar
113,4.418980723699314,lidar
113,4.435009875276588,lidar
113,5.7015188347545545,lidar
113,7.845840903149553,lidar
113,8.726464595362911,lidar
113,5.749059943741659,lidar
113,7.377182762218731,lidar
113,6.570548446709039,lidar
113,6.254788816697354,lidar
113,6.4468689113956374,lidar
113,7.130717489750508,lidar
113,9.45588376262867,lidar
113,6.324820442378623,lidar
113,6.324820442378623,lidar
120,4.9625050785272995,lidar
120,3.233699856298452,lidar
120,2.7346610864768115,lidar
120,3.169514810801936,lidar
120,2.6391779332959637,lidar
120,5.2334480834910755,lidar
120,2.8495212084753856,lidar
120,5.649014125789739,lidar
120,3.5357104799190813,lidar
120,2.8504756678305685,lidar
120,2.8459843938041702,lidar
120,3.819058356711034,lidar
120,4.139511179002727,lidar
120,3.0585627402375337,lidar
120,3.160537312217738,lidar
120,3.5539630785954017,lidar
120,2.497686130404745,lidar
120,3.7954279897998005,lidar
120,3.019409924760021,lidar
120,5.962285393695821,lidar
120,4.174045500580995,lidar
120,3.6395712870884505,lidar
120,3.0154700800948326,lidar
120,3.0689059936534466,lidar
120,4.040545154899556,lidar
120,4.040545154899556,lidar
139,13.491787786499355,lidar
139,11.334972458230087,lidar
139,10.528165677437991,lidar
139,11.322871101119182,lidar
139,10.223599585660198,lidar
139,13.46001771568652,lidar
139,10.101389303040392,lidar
139,14.058411500274357,lidar
139,12.466436699219441,lidar
139,10.73216805619178,lidar
139,10.49235780534082,lidar
139,11.991407605052682,lidar
139,12.16999992300251,lidar
139,10.573370185144737,lidar
139,10.96473836615505,lidar
139,11.654630112801655,lidar
139,10.007559870348192,lidar
139,12.320888768290295,lidar
139,11.082085901903097,lidar
139,14.361779524149513,lidar
139,13.140093441486558,lidar
139,12.371388424577928,lidar
139,11.382418858478637,lidar
139,10.484544299053868,lidar
139,13.161480502614342,lidar
139,13.161480502614342,lidar
140,13.465140729021146,lidar
140,11.139268252281981,lidar
140,10.801128183617944,lidar
140,11.254071174873449,lidar
140,9.975029886677591,lidar
140,13.56393809955381,lidar
140,9.825758595274294,lidar
140,14.002908810093592,lidar
140,12.123944853190627,lidar
140,10.403502897115864,lidar
140,10.84559097092963,lidar
140,11.4839970475624,lidar
140,12.325498547888545,lidar
140,10.78008363750616,lidar
140,10.825420192075638,lidar
140,11.054542061628277,lidar
140,9.72533064147903,lidar
140,12.483492409325331,lidar
140,10.478671828208288,lidar
140,14.37656365793388,lidar
140,13.238531623135863,lidar
140,12.242564436866338,lidar
140,10.813294085952005,lidar
140,10.186428903554367,lidar
140,13.079739664388233,lidar
140,13.079739664388233,lidar
146,10.906676444038395,lidar
146,5.917535966565008,lidar
146,10.257241653929956,lidar
146,7.919561535210944,lidar
146,6.511286369110761,lidar
146,11.904424648172833,lidar
146,4.350927603247668,lidar
146,12.800388811317015,lidar
146,6.759894098701739,lidar
146,4.465692575347214,lidar
146,8.426863803766818,lidar
146,7.952848852791941,lidar
146,10.953206316466,lidar
146,7.597009937130912,lidar
146,6.012183538005123,lidar
146,5.437163037241415,lidar
146,4.886019084124587,lidar
146,9.297230864598868,lidar
146,4.677075918426067,lidar
146,13.135050104182582,lidar
146,10.00682691738032,lidar
146,6.596696643704011,lidar
146,5.284960996192383,lidar
146,4.699189143371778,lidar
146,9.889340805347514,lidar
146,9.889340805347514,lidar
154,7.866937419751928,lidar
154,4.6108091824316535,lidar
154,5.284174267417962,lidar
154,4.96707391098189,lidar
154,5.515199194147919,lidar
154,6.89388148020173,lidar
154,3.685524072680164,lidar
154,9.153303110944229,lidar
154,5.570309798065337,lidar
154,3.4032858935351777,lidar
154,4.689724074489451,lidar
154,5.877844810014928,lidar
154,5.804718117973732,lidar
154,4.63424711005194,lidar
154,4.31039343013112,lidar
154,4.134205721298358,lidar
154,4.454962899701587,lidar
154,6.455656647973037,lidar
154,3.5991163950900353,lidar
154,8.722022601933599,lidar
154,7.609957940267568,lidar
154,5.2215545668347785,lidar
154,3.7282852149347723,lidar
154,3.7326218627072625,lidar
